"School Name", "Link"
Allegheny College, https://www.linkedin.com/school/allegheny-college/people/
Arizona State University, https://www.linkedin.com/school/arizona-state-university/people/
Barnard College, https://www.linkedin.com/school/barnard-college/people/
"Binghamton University, The State University of New York", https://www.linkedin.com/school/binghamton-university/people/
Boston University, https://www.linkedin.com/school/boston-university/people/
Brandeis University, https://www.linkedin.com/school/brandeis-university/people/
Bryant University, https://www.linkedin.com/school/bryant-university/people/
California Institute of Technology, https://www.linkedin.com/school/california-institute-of-technology/people/
Calvin University, https://www.linkedin.com/school/calvin-college/people/
Central Washington University, https://www.linkedin.com/school/central-washington-university/people/
Colorado College, https://www.linkedin.com/school/colorado-college/people/
Columbia University, https://www.linkedin.com/school/columbia-university/people/
Cornell University, https://www.linkedin.com/school/cornell-university/people/
Denison University, https://www.linkedin.com/school/denisonuniversity/people/
Drexel University, https://www.linkedin.com/school/drexel-university/people/
Duke University, https://www.linkedin.com/school/duke-university/people/
Franklin & Marshall College, https://www.linkedin.com/school/franklin-&-marshall-college/people/
George Mason University, https://www.linkedin.com/school/george-mason-university/people/
Gonzaga University, https://www.linkedin.com/school/gonzaga-university/people/
Hampshire College, https://www.linkedin.com/school/hampshire-college/people/
Haverford College, https://www.linkedin.com/school/haverford-college/people/
Hope College, https://www.linkedin.com/school/hope-college/people/
IE University, https://www.linkedin.com/school/ie-university/people/
Illinois Institute of Technology, https://www.linkedin.com/school/illinois-institute-of-technology/people/
Imperial College London, https://www.linkedin.com/school/imperial-college-london/people/
Iowa State University, https://www.linkedin.com/school/iowastateu/people/
Johns Hopkins University, https://www.linkedin.com/school/johns-hopkins-university/people/
Juniata College, https://www.linkedin.com/school/juniatacollege/people/
Kent State University, https://www.linkedin.com/school/kent-state-university/people/
Kenyon College, https://www.linkedin.com/school/kenyon-college/people/
"King's College London", https://www.linkedin.com/school/king's-college-london/people/
"London School of Economics and Political Science", https://www.linkedin.com/school/london-school-of-economics/people/
Loyola Marymount University, https://www.linkedin.com/school/loyola-marymount-university/people/
Lynn University, https://www.linkedin.com/school/lynn-university/people/
Macalester College, https://www.linkedin.com/school/macalester-college/people/
Marist College, https://www.linkedin.com/school/marist-college/people/
Marquette University, https://www.linkedin.com/school/marquetteu/people/
